"Brand","category_option","collection_available","Colour","condition","condition_option","courier_collection_allowed","cover_image","delivery_class","delivery_estimates_enabled","delivery_method","Delivery_type","description","image","images","imagestext","Location_Geo","price","quantity_available","rating","rating_option","title","type","URL_Slug","user:location","repair_images","current_supabase_images","image_status","expected_image_count","imported_image_count","notes"
"Life Fitness","","yes","","Used","","","","","","","","Commercial grade life fitness cross trainer.
Self charging 

Collection from Bd5 8dt ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771174288533x852658247041063700/1771174286261.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771174291534x958299715940266600/1771174286270.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771174294061x927251123277156100/1771174286294.jpeg","","Bradford, UK","499","1","Full Commercial","","Life fitness commercial cross trainer","Crosstrainers","life-fitness-crosstrainers-bradford","","","2","PARTIAL","3","2","2 Bubble image(s) imported; HTTP 403 on 1 remaining CDN image(s); 1 image(s) still missing in Supabase"
"Precor","","yes","","Used","","","","","","","","Precor dual abductor/ adductor machine . 2 machines in one . Great machine in great condition and good working order . Great price . ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771174439166x713809448628711700/1771174436774.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771174442911x932038795261306200/1771174436792.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771174446273x568293948875629100/1771174436795.jpeg","","Hull, UK","1300","1","Full Commercial","","Precor dual abductor/adductor machine","Pin Loaded Machine","precor-pin-loaded-machine-kingston-upon-hull","","","3","OK","3","3","3 Bubble image(s) imported"
"Life Fitness","","yes","","Used","","","","","","","","Life Fitness Pro 1 lat pulldown machine . In great condition as it’s had a recent full refurbishment. Big 140kg weight stack . Great machine ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771177141178x347791242019096500/1771177138757.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771177144754x615296709208275100/1771177138772.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771177148965x602189820976002400/1771177138780.jpeg","","Hull, UK","1300","1","Full Commercial","","Life fitness pro 1 lat pulldown","Pin Loaded Machine","life-fitness-pin-loaded-machine-kingston-upon-hull","","","3","OK","3","3","3 Bubble image(s) imported"
"Assault Fitness","","yes","","Used","","","","","","","","£775 ONO
Bought for £1500 during covid. Hardly been used since in mint condition.
Collection from L39 Area ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771613581862x822475269766428500/1771613578446.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771613588078x383588991763515800/1771613578494.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771613592812x753814553081831400/1771613578502.jpeg","","Leeds, UK","775","1","Full Commercial","","Assault Fitness Air Bike Elite","Assault Bikes","assault-fitness-assault-bikes-leeds","","","3","OK","3","3","3 Bubble image(s) imported"
"Technogym","","yes","","For Parts","","","","","","","","Commercial techno gym excite treadmill. Has just stopped working. 

No idea what's wrong.

","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771664590211x311651898916593900/1771664587605.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771664593332x471673706268505000/1771664587655.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771664595568x468429279788460400/1771664587662.jpeg","","Leeds, UK","300","1","Full Commercial","","Techno Gym Excite Commercial Treadmill","Treadmills","technogym-treadmills-leeds","","","3","OK","3","3","3 Bubble image(s) imported"
"Technogym","","yes","","Used","","","","","","","","All in working order apart from start button has stopped working but I was going to sell one treadmill anyway as I don’t need 3 so not worth me fixing. Priced accordingly. Collection only Mablethorpe","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771697309247x251868520299530100/1771697307426.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771697311586x651474581191328500/1771697307455.jpeg","","Mablethorpe LN12, UK","250","1","Full Commercial","","Commercial Techno Gym treadmill","Treadmills","technogym-treadmills-mablethorpe","","","2","OK","2","2","2 Bubble image(s) imported"
"TuffStuff","","yes","","Used","","","","","","","","TuffStuff Fitness SPT-6X Six-Pak Trainer, a commercial-grade functional trainer/multi-gym. This is a very high-end machine, far superior to typical home gym cable setups.

✔️ Home gym use
✔️ Excellent / near-perfect condition
✔️ Smooth cables and pulleys
✔️ Selectorised weight stack
✔️ Fully adjustable arms – huge exercise range
✔️ Solid, commercial build quality

This machine has been extremely well looked after and works exactly as it should. No fraying cables, no damage to pads, no mechanical issues.

Open to offers.","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771765705506x384588160522160400/1771765702243.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771765710056x462408530869820500/1771765702296.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771765713254x598489437324689700/1771765702326.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771765715894x654403965892458100/1771765702346.jpeg","","Castleford, UK","1300","1","Light Commercial","","TuffStuff SPT-6X Six-Pak Trainer – Commercial Gym Quality – Excellent Condition","Pin Loaded Machine","tuffstuff-pin-loaded-machine-castleford","","","1","PARTIAL","4","1","1 Bubble image(s) imported; HTTP 403 on 3 remaining CDN image(s); 3 image(s) still missing in Supabase"
"Life Fitness","","yes","","Used","","","","","","","","Buyer to collect and dismantle.","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771787580736x381596193401559940/1771787579079.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771787582059x476612444904889860/1771787579079.jpg","","Lichfield, UK","500","1","Light Commercial","","Lifefitness G2 Multigym, lightly used, buyer to collect and dismantle.","Pin Loaded Machine","life-fitness-pin-loaded-machine-lichfield","","","2","OK","2","2","2 Bubble image(s) imported"
"Technogym","","yes","","Used","","","","","","","","Weight Stack Goes Up to 90kg
Collection from Coventry","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771787721820x869720203003139800/1771787722394.jpg","","Coventry, UK","500","1","Full Commercial","","TechnoGym LOW ROW BACK Machine","Pin Loaded Machine","technogym-pin-loaded-machine-coventry","","","1","OK","1","1","1 Bubble image(s) imported"
"Pulse","","yes","","Used","","","","","","","","Weight Stack Up to 100kg

Collection from Coventry","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771787827483x647366998979380000/1771787827537.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771787828513x479514516948529540/1771787827539.jpg","","Coventry, UK","1000","1","Full Commercial","","Pulse Shoulder Press Machine","Pin Loaded Machine","pulse-pin-loaded-machine-coventry","","","2","OK","2","2","2 Bubble image(s) imported"
"Life Fitness","","yes","","Used","","","","","","","","Weight Stack Goes Up to 145KG
Seat Will Be Reattached

Collection from Coventry
Collection needs to be planned methodically because this thing is Very Large and Heavy.

FOR THE STRONG","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771787891963x276795844393163520/1771787892231.jpg","","Coventry, UK","3000","1","Full Commercial","","145KG LAT PULLDOWN Machine LifeFitness","Pin Loaded Machine","life-fitness-pin-loaded-machine-coventry","","","1","OK","1","1","1 Bubble image(s) imported"
"Technogym","","yes","","Used","","","","","","","","Techno gym Dumbell set with racks
4kg-40kg all in pairs except 16kg

Priced to sell as one","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771841916536x982311138532069500/1771841914451.jpeg","","Belfast, UK","1200","1","Full Commercial","","Techno gym Dumbells","Dumbbells","technogym-dumbbells-belfast","","","1","OK","1","1","1 Bubble image(s) imported"
"Matrix Fitness","","yes","","Used","","","","","","","","This exercise bike is in excellent working condition, with some minor rust on the foot that doesn't affect its performance. It's a solid and portable training bike, perfect for those who want to stay fit at home. The minor rust is purely cosmetic and does not impact the bike's functionality.

Target Training Display: Equipped with an LCD console that uses colored LED lights to track metrics like watts, heart rate, RPMs, and resistance level. 
Resistance: Utilizes repeatable magnetic resistance for a smooth and consistent workout. 
Ergonomics: Designed with optimized ergonomics and intuitive four-way adjustment for personalized comfort. 
Connectivity: Some models offer RFID compatibility for touch-free check-ins and workout tracking. 
Design: Features a sturdy, high-design frame with integrated wheels and handles for easy transport.","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771874250846x480294302784321400/1771874249106.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771874254159x771598938375635600/1771874249141.jpeg","","Liversedge, UK","250","1","Full Commercial","","MATRIX CXC TRAINING CYCLE","Spin Bikes","matrix-fitness-spin-bikes-liversedge","","","2","OK","2","2","2 Bubble image(s) imported"
"BodyPower","","yes","","Used","","","","","","","","Dm for more info and pictures 
Bought for £1600 grab a bargain 
It’s in mint condition","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771874379931x814173682063599600/1771874376661.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771874383281x814954210905628400/1771874376686.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771874386643x592498879258978000/1771874376689.jpeg","","Leeds, UK","800","1","Light Commercial","","Body Power Multi Gym","Pin Loaded Machine","bodypower-pin-loaded-machine-leeds","","","3","OK","3","3","3 Bubble image(s) imported"
"Other","","yes","","Used","","","","","","","","5 treadmills available from commercial gym all working fine no faults very durable commercial grade. £650 each or £3000 for all 5. Collection Ossett","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771874940294x274884029526367040/1771874937482.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771874944091x560615173609233540/1771874937538.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771874947657x528351892501066800/1771874937542.jpeg","","Ossett, UK","650","5","Full Commercial","","Treadmill Used Full Working Order","Treadmills","other-treadmills-ossett","","","3","OK","3","3","3 Bubble image(s) imported"
"Primal","","yes","","Used","","","","","","","","Almost new. Only used in small pt studio. Serious piece of commercial gym equipment. Other equipment available message for details. Collection Ossett","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875102916x680692333138262800/1771875100037.jpeg","","Ossett, UK","1200","1","Full Commercial","","Primal leg press commercial","Plate Loaded Machine","primal-plate-loaded-machine-ossett","","","1","OK","1","1","1 Bubble image(s) imported"
"Ziva","","yes","","Used","","","","","","","","600kg of ZIVA weight plates polyurethane so will last forever absolutely unreal how indestructible these are. No chips no scuffs etc. solid addition to commercial or home gym.

These are what weights the plates are made up of. 

8x - 25kg 
6x - 20kg
8x - 15kg
10x - 10kg
10x - 5kg
4x - 2.5kg
6x - 1.25kg","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875173300x335375915249855900/1771875170392.jpeg","","Ossett, UK","1200","1","Full Commercial","","ZIVA commercial polyurethane weight plates","Weight Plates","ziva-weight-plates-ossett","","","1","OK","1","1","1 Bubble image(s) imported"
"Primal","","yes","","Used","","","","","","","","Almost new only used in small pt studio. Brand new primal pad also included. Other gym equipment please message. Collection Ossett","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875270868x748631671867706000/1771875267831.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875275322x703215677888749300/1771875267856.jpeg","","Ossett, UK","850","1","Full Commercial","","Primal Glute Drive","Plate Loaded Machine","primal-plate-loaded-machine-ossett","","","1","PARTIAL","2","0","HTTP 403 on 2 remaining CDN image(s); 1 image(s) still missing in Supabase"
"Primal","","yes","","Used","","","","","","","","Solid piece of kit designed for commercial use - not cheap like mirafit etc. plate loaded leg extension. 

Other equipment available please message. Collection Ossett.","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875348949x662341898602497400/1771875343157.png , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875352437x677626611603794300/1771875343197.jpeg","","Ossett, UK","750","1","Full Commercial","","Plate Loaded Leg Extension","Plate Loaded Machine","primal-plate-loaded-machine-ossett","","","1","PARTIAL","2","0","HTTP 403 on 2 remaining CDN image(s); 1 image(s) still missing in Supabase"
"Other","","yes","","Used","","","","","","","","Almost new solid piece of kit. Standard seated shoulder press leverage machine. 

Other equipment available please message. Collection Ossett.","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875468226x671536490610793400/1771875465319.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875471898x355292628689257000/1771875465352.jpeg","","Ossett, UK","750","1","Full Commercial","","Shoulder Press Leverage Machine","Plate Loaded Machine","other-plate-loaded-machine-ossett","","","2","OK","2","2","2 Bubble image(s) imported"
"Other","","yes","","Used","","","","","","","","Almost new glute kickback plate loaded strong and sturdy piece of equipment well suited for commercial use. Other equipment available please message. Collection Ossett.","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875544699x464517745178370200/1771875541084.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875548123x192757061299843040/1771875541112.jpeg","","Ossett, UK","750","1","Full Commercial","","Plate loaded Glute Kickback","Plate Loaded Machine","other-plate-loaded-machine-ossett","","","2","OK","2","0","HTTP 403 on 2 remaining CDN image(s)"
"Other","","yes","","Used","","","","","","","","Almost new unilateral leg press. Can be used as a standard leg press or as two individual plates offering more variety in training. Very unique and hard wearing piece of commercial gym equipment. Other gym equipment available please message for details. Collection from Ossett.","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875626480x522220422421398000/1771875623680.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771875630359x440552275170043000/1771875623695.jpeg","","Ossett, UK","1000","1","Full Commercial","","Dual / Unilateral Leg Press","Plate Loaded Machine","other-plate-loaded-machine-ossett","","","2","OK","2","0","HTTP 403 on 2 remaining CDN image(s)"
"Other","","yes","","Used","","","","","","","","Commercial Seated hamstring curl machine in good condition been regularly serviced comes with plastic covers for instruction on how to use the machine","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771891091449x637949137723371300/1771891090631.jpeg","","Cleckheaton BD19, UK","300","1","Full Commercial","","Commercial seated hamstring curl machine","Pin Loaded Machine","other-pin-loaded-machine-cleckheaton","","","1","OK","1","1","1 Bubble image(s) imported"
"","","yes","","Used","","no","","","","","","Life fitness 95 xs  , professional gym equipment , as new condition , large screen , connects to WiFi for Netflix ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771959540125x175193436008419520/1771959539610.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771959541549x773081756804144800/1771959539612.jpg","","Holmfirth HD9, UK","895","1","Full Commercial","","Life fitness cross trainer","Crosstrainers","-crosstrainers-holmfirth","","","2","OK","2","2","2 Bubble image(s) imported"
"Powertec","","yes","","Used","","","","","","","","Power tech multi system not really been used it’s also got 80kg weights 3 people at the same time can use the system it’s going for £900 or nearest offer

Can be broken down for transport but still would require a van ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771959629952x772729564871971800/1771959629345.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771959630901x303458791435651260/1771959629347.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1771959631799x215248777531544350/1771959629347.jpg","","Huddersfield, UK","900","1","Home Use",""," Power tech multi system","Pin Loaded Machine","powertec-pin-loaded-machine-huddersfield","","","3","OK","3","3","3 Bubble image(s) imported"
"Peloton","","yes","","Used","","","","","","","","Peloton bike (this is not the +, but it has had a monitor swivle attachment added to it, meaning the moinitor can swing around to be used for non bike pelaton workouts. 

Includes power cable, instructions, and weights and a phone holder. 

(heavy and bulky, but can easily remove screen to transport)","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772019712453x187100214036678200/1772019710706.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772019713566x971798545529885000/1772019710709.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772019714685x726529410423707600/1772019710709.jpg","","Leeds, UK","500","1","Home Use","","Peloton Bike","Spin Bikes","peloton-spin-bikes-leeds","","","3","OK","3","3","3 Bubble image(s) imported"
"Pulse","","yes","","Used","","","","","","","","Full set of commercial pulse gym machines barely used from a small leisure centre. Purchased for our own gym set up but the plans haven’t worked as we wanted so forced to sell. 

There’s

Seated Row
Shoulder press
Add/abductor
Back extension 
Lat pull down
Leg press
Pec/fly
Assisted chin/dip
Leg extension/curl
Chest press
Smith machine
DAP/crossover 
Preacher bench 
2x X-trainers 

All Pulse Branded Commercial Grade Gym equipment.

Any questions welcome.

Also have more gym equipment available of various other brands and treadmills. More photos available on request as max limit for listing reached.

Thanks
","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772028380015x559220558698236160/1772028352737.png , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772028384356x692082478942282600/1772028352747.png , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1772028389459x341081568948999880/1772028352757.png","","Ossett, UK","13000","1","Full Commercial","","Pulse Gym Resistance Machine bundle","Pin Loaded Machine","pulse-pin-loaded-machine-ossett","","","0","ZERO_IMAGES","3","0","HTTP 403 on 3 remaining CDN image(s); Zero images in Supabase"
